GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petclinic,io.pivotal.petclinic.owner,PetType,0,64,0,0,0,7,0,1,0,1
petclinic,io.pivotal.petclinic.owner,DisplayPet,12,52,0,0,2,14,2,8,2,8
petclinic,io.pivotal.petclinic.owner,Pet,22,24,0,0,7,7,1,7,1,7
petclinic,io.pivotal.petclinic.owner,VisitController,0,81,0,2,0,21,0,6,0,5
petclinic,io.pivotal.petclinic.owner,Owner,25,46,0,0,8,8,1,8,1,8
petclinic,io.pivotal.petclinic.owner,OwnerController,18,201,0,10,4,47,1,16,1,11
petclinic,io.pivotal.petclinic.owner,PetTypeFormatter,0,26,0,0,0,7,0,3,0,3
petclinic,io.pivotal.petclinic.owner,PetController,5,172,4,12,1,40,4,13,0,9
petclinic,io.pivotal.petclinic.owner,DisplayOwner,4,56,0,0,1,15,1,8,1,8
petclinic,io.pivotal.petclinic.owner,PetValidator,5,36,2,6,1,10,2,5,0,3
petclinic,io.pivotal.petclinic,PetClinicApplication,5,8,0,0,2,2,1,2,1,2
petclinic,io.pivotal.petclinic.system,CrashController,5,3,0,0,1,1,1,1,1,1
petclinic,io.pivotal.petclinic.system,DBController,171,17,0,0,21,6,3,2,3,2
petclinic,io.pivotal.petclinic.system,UnitTestCacheConfiguration,0,3,0,0,0,1,0,1,0,1
petclinic,io.pivotal.petclinic.system,CacheConfiguration,0,3,0,0,0,1,0,1,0,1
petclinic,io.pivotal.petclinic.system,WelcomeController,2,3,0,0,1,1,1,1,1,1
petclinic,io.pivotal.petclinic.model,BaseEntity,0,17,0,2,0,4,0,5,0,4
petclinic,io.pivotal.petclinic.model,NamedEntity,0,22,0,0,0,4,0,4,0,4
petclinic,io.pivotal.petclinic.model,Person,0,17,0,0,0,5,0,5,0,5
petclinic,io.pivotal.petclinic.visit,Visit,4,23,0,0,1,8,1,6,1,6
petclinic,io.pivotal.petclinic.vet,Vet,18,37,0,0,2,10,2,5,2,5
petclinic,io.pivotal.petclinic.vet,Specialty,0,34,0,0,0,4,0,1,0,1
petclinic,io.pivotal.petclinic.vet,Vets,0,14,0,2,0,4,0,3,0,2
petclinic,io.pivotal.petclinic.vet,VetController,0,43,0,0,0,10,0,3,0,3
